i	b0p	b0m	b650p	b650m	b1500p	b1500m	b2000p	b2000m	b2400p	b2400m	d650p	d650m	d1500p	d1500m	d2000p	d2000m	d2400p	d2400m
1	-0.0052	0.0053	-0.0031	0.0033	-0.0003	0.0004	0.0013	-0.0011	0.0023	-0.0021	0.0021	-0.0020	0.0049	-0.0049	0.0065	-0.0064	0.0075	-0.0074
2	-0.0116	0.0119	-0.0070	0.0076	-0.0007	0.0008	0.0027	-0.0025	0.0051	-0.0049	0.0046	-0.0043	0.0109	-0.0111	0.0143	-0.0144	0.0167	-0.0168
3	-0.0178	0.0183	-0.0107	0.0111	-0.0011	0.0013	0.0042	-0.0039	0.0080	-0.0075	0.0071	-0.0072	0.0167	-0.0170	0.0220	-0.0222	0.0258	-0.0258
4	-0.0238	0.0244	-0.0145	0.0150	-0.0015	0.0019	0.0057	-0.0053	0.0111	-0.0103	0.0093	-0.0094	0.0223	-0.0225	0.0295	-0.0297	0.0349	-0.0347
5	-0.0306	0.0308	-0.0186	0.0187	-0.0020	0.0024	0.0072	-0.0067	0.0133	-0.0131	0.0120	-0.0121	0.0286	-0.0284	0.0378	-0.0375	0.0439	-0.0439
6	-0.0362	0.0370	-0.0222	0.0226	-0.0023	0.0030	0.0087	-0.0078	0.0161	-0.0153	0.0140	-0.0144	0.0339	-0.0340	0.0449	-0.0448	0.0523	-0.0523
7	-0.0426	0.0438	-0.0262	0.0271	-0.0028	0.0038	0.0102	-0.0091	0.0190	-0.0182	0.0164	-0.0167	0.0398	-0.0400	0.0528	-0.0529	0.0616	-0.0620
8	-0.0489	0.0507	-0.0300	0.0311	-0.0034	0.0045	0.0114	-0.0102	0.0213	-0.0201	0.0189	-0.0196	0.0455	-0.0462	0.0603	-0.0609	0.0702	-0.0708
9	-0.0544	0.0562	-0.0336	0.0360	-0.0039	0.0055	0.0134	-0.0107	0.0248	-0.0230	0.0208	-0.0202	0.0505	-0.0507	0.0678	-0.0669	0.0792	-0.0792
10	-0.0603	0.0637	-0.0375	0.0399	-0.0042	0.0065	0.0145	-0.0117	0.0270	-0.0251	0.0228	-0.0238	0.0561	-0.0572	0.0748	-0.0754	0.0873	-0.0888